Brand_Name,Shoe Descripition,Discounted Price,Actual_price
Campus,Men Colourblocked Sneakers,1483,2899
Roadster,Men Lightweight Sneakers,627,2992
Flying Machine,Men PU Sneakers,1599,3199
NEEMANS,Men Relive Knit Boat Loafer,1799,2999
HRX by Hrithik Roshan,Men Woven Design Sneakers,620,2699
AfroJack,Men Colourblocked Sneakers,1149,6995
Campus,Men Lace-Up Sneaker,999,1599
NEEMANS,Textured Slip-On Sneakers,1289,4299
Campus,Men Perforations Sneakers,1127,1799
Roadster,Men Textured Casual Espadrille,964,4195
NEEMANS,Men Slip-On Sneakers,1349,2999
NEEMANS,Men Woven Design Slip-On Sneakers,1749,2999
ZAYDN,Men Colourblocked Sneakers,1405,2999
Ducati,Men Perforated Sneakers,1022,3299
Roadster,Laced Up Casual Shoes,725,3299
NEEMANS,Men Penny Driving Shoes,1799,3499
Ducati,Men Everyday Sneakers,1154,3299
ASIAN,Men Round Toe Sneakers,749,1499
ZAYDN,Men Colourblocked Sneakers,1405,2599
House of Pataudi,Men Woven Design Mojaris,1199,2999
HITWAY,Men Grey Casual Shoes,1867,2999
Roadster,Men Casual Sneakers,859,4295
Ducati,Men Everyday Sneakers,1022,3299
NEEMANS,Men Penny Loafers,1294,3699
Campus,Men Colourblocked Sneakers,1424,2999
NEEMANS,Men Woven Design Loafers,1699,2999
Roadster,Men Sneakers,830,3795
Roadster,Men Casual Moccasins Loafers,997,4495
HRX by Hrithik Roshan,Men Basics Sneakers,989,4499
Ducati,Men Everyday Sneakers,1055,3299
ZAYDN,Men Colourblocked Sneakers,1405,2999
WROGN,Men Printed Sneakers,1399,3499
Roadster,Men Casual Sneakers,974,2870
ZAYDN,Cooper Men's Casual Sneaker,1405,2999
NEEMANS,Men Round Toe Loafers,1294,3699
House of Pataudi,Men Lightweight Loafers,1544,3699
Lotto,Men Impulso Citta Sneakers,1795,4499
FUNNY FIRE,Men Lightweight Loafers,850,1999
Mochi,Men Woven Design Mojaris,1769,1990
Campus,Men Woven Design Sneakers,799,1499
Forca,Men Colourblocked Sneakers,1511,1699
Roadster,Colourblocked Casual Sneakers,788,2995
ZAYDN,Men Casual Sneaker,1405,2999
Red Tape,Men Colourblocked Sneakers,2009,6699
GULASS WICK,Men Casual Shoes,659,1999
Roadster,Men Casual Loafers,998,4195
ASIAN,Men Colourblocked Sneakers,659,1499
Red Tape,Men Colourblocked Sneakers,2039,6799
ZAYDN,Men Colourblocked Sneakers,1405,2599
NEEMANS,Woven Design Slip-On Sneakers,989,3299
Bata,Solid Round Toe Loafers,991,1599
Campus,Men Weekender Lace-Up Sneakers,1199,2599
Campus,Lace-Ups Round Toe Sneakers,1199,1999
JQR,Men Solid Sneakers,866,1699
Roadster,Men Casual Moccasins Loafers,997,4495
ASIAN,Men EVEREST-22 Sneakers,1349,2999
HRX by Hrithik Roshan,Men Bomba Sneakers,1271,5299
NEEMANS,Round Toe Lace-Ups Loafers,1799,2999
JQR,Men Colourblocked Sneakers,866,1699
GULASS WICK,Men Casual Shoes,659,1999
Vellinto,Men Round Toe Lace-Ups Derbys,1107,1999
Duke,Men Sleekstyle Slip-On Loafers,716,1119
Red Tape,Men Textured Sneakers,2099,6999
HRX by Hrithik Roshan,Men Colourblocked Sneakers,1162,4649
Roadster,Men Colourblocked Sneakers,998,3995
Red Tape,Men Colourblocked Sneakers,1889,6299
KASTAVA,Men Flatforms,769,1599
Campus,Men Colourblocked Sneakers,1661,2199
Ducati,Men Sneakers,1484,3299
Butello,Men Leather Loafers,1712,4999
Metro,Men Textured Leather Loafers,1479,2690
GULASS WICK,Men Casual Shoes,659,1999
Styli,Men Suede Mule Espadrilles,819,999
Ducati,Men Sneakers,1484,3299
Metro,Men Textured Leather Loafers,1479,2690
KRAASA,Round Toe Loafers,997,1999
Atom,Men Textured Mesh Sneakers,1584,3299
Campus,Men White PU Sneakers,1473,2199
Roadster,Men Slip-On Sneakers,719,3999
GULASS WICK,Men Casual Shoes,659,1999
ASIAN,Men Lace-Ups Sneakers,734,1499
Roadster,Men Moccasins Loafers Shoes,998,4495
WROGN,Men Colourblocked Sneakers,1352,3299
House of Pataudi,Textured Lightweight Mojaris,1694,3499
Puma,Men C-Block Sneakers,1574,4499
FUNNY FIRE,Men Loafers,850,1999
Campus,Men Slip-On Walking Shoes,949,1499
HRX by Hrithik Roshan,Men Colourblocked Sneakers,1399,4999
House of Pataudi,Men Handcrafted Slip-Ons,1785,2999
HRX by Hrithik Roshan,Men Lace-Ups Sneakers,999,3699
ASIAN,Men Round Toe Sneakers,719,1499
HRX by Hrithik Roshan,Men Printed Sneakers,974,3899
Ducati,Men Everyday Sneakers,989,3299
Flying Machine,Men Joell Sneakers,1599,3199
JQR,Men's Cream Sneakers,1159,1599
Roadster,Men Lightweight Sneakers,830,3795
Roadster,Men Colourblocked Shoes,821,3695
