Brand_Name,Shoe Descripition,Discounted Price,Actual_price
ASIAN,Men Round Toe Sneakers,719,1499
FUNNY FIRE,Men Loafers,850,1999
JQR,Men Memory Foam Sneakers,866,1699
Flying Machine,Men Joell Sneakers,1599,3199
Roadster,Men Colourblocked Shoes,821,3695
JQR,Men Lace-Ups Sneakers,824,1499
HRX by Hrithik Roshan,Men Comfort Insole Sneakers,961,3699
House of Pataudi,Men Handcrafted Slip-Ons,1795,3999
Styli,Men Colourblocked Sneakers,999,1799
Ducati,Men Everyday Sneakers,989,3299
WROGN,Men Textured Slip-On Sneakers,942,2299
ZAYDN,Men Colourblocked Sneakers,1405,2999
Roadster,Men Casual Lace Up Sneakers,999,4295
Campus,Men Lace-Up Sneaker,1149,1999
Styli,Men Suede Mule Espadrilles,819,999
Bata,Men Slip-On Sneakers,844,1299
GULASS WICK,Men Derby Loafers,659,1999
KRAASA,Round Toe Loafers,997,1999
HRX by Hrithik Roshan,Men Printed Sneakers,899,3599
NEEMANS,Woven Design Slip-On Sneakers,1139,3799
Roadster,Men Slip-On Sneakers,719,3999
FCUK,Men Sneakers,1159,3999
WROGN,Men Textured Sneakers,1352,3299
Roadster,Men Moccasins Loafers Shoes,998,4495
FUNNY FIRE,Men Loafers,888,1999
FCUK,Men Mid-Top Sneakers,1159,3999
Ducati,Men Mid-Top Textured Sneakers,1159,3999
Red Tape,Men Colourblocked PU Sneakers,2069,6899
Campus,Men Slip-On Walking Shoes,949,1499
WROGN,Men Textured Sneakers,1169,2999
blue pop,Backless Lace-Up Sneaker,710,2499
ASIAN,Men Colourblocked Sneakers,734,1499
NEEMANS,Woven Design Slip-On Sneakers,989,3299
HRX by Hrithik Roshan,Men Printed Sneakers,974,3899
Red Tape,Men Colourblocked Sneakers,1919,6399
WROGN,Men Colourblocked Sneakers,1385,3299
San Frissco,Men Slip-On Loafers,1549,6495
Ducati,Men Everyday Sneakers,1053,3399
Red Tape,Men Textured Sneakers,1979,6599
Roadster,Lace Up Casual Sneakers,759,3999
WROGN,Men Colourblocked Sneakers,1169,2999
ASIAN,Men Colourblocked Sneakers,1099,1999
KASTAVA,Men Sneakers,719,1999
Aeropostale,Men Everyday Sneakers,959,2999
Campus,Men Colourblocked Sneakers,1661,2199
Campus,Men Lace-Up Sneaker,999,2499
HRX by Hrithik Roshan,Men Round Toe Sneakers,728,2699
NEEMANS,Men Textured Loafers,1799,2999
LA MARCA,Men Leather Slip-On Sneakers,1533,4299
ASIAN,Men Perforations Sneakers,729,1499
WROGN,Men Colourblocked Sneakers,1519,3799
Sparx,Men Canvas Sneakers,879,1099
FUNNY FIRE,Men Loafers,888,1999
HRX by Hrithik Roshan,Men Brand Logo Print Sneakers,974,3899
Styli,Canvas Lace-Up Casual Shoes,615,799
HRX by Hrithik Roshan,Men Everyday Sneakers,899,3599
Bata,Men Slip-On Sneakers,870,1299
WALKWAY by Metro,Men Textured Leather Loafers,1029,1099
ASIAN,Men Memory Foam Sneakers,729,1499
FUNNY FIRE,Men Black Sneakers,888,1999
Cantabil,Men Colourblocked PU Sneakers,1519,3799
Roadster,Men Slip-On Sneakers,760,3495
HRX by Hrithik Roshan,Men Everyday Sneakers,824,3299
Campus,Men Perforations Sneakers,1199,1799
WROGN,Men Colourblocked Sneakers,1385,3299
Campus,Men PU Sneakers,1364,2199
Roadster,Men PU Sneakers,849,3999
HITWAY,Men Black Casual Shoes,1867,2999
